LEGAL_ENTITY,SERVICE,COST_CENTRE,NOMINAL,GL_DATE,POSTED_DATE,ACCOUNTING_DATE,TXN_AMT,TXN_CURRENCY,FUNCTIONAL_AMOUNT,FUNCTIONAL_CURRENCY,JOURNAL_CATEGORY
01,,0100214402,100214402,2026-05-28,2026-05-28,2026-05-28,999.99,USD,999.99,USD,Manual
01,,0100214501,100214402,2026-05-28,2026-05-28,2026-05-28,999.99,USD,999.99,USD,Manual
01,,0100214402,100215010,2026-06-02,2026-06-02,2026-06-02,3318.83,USD,3318.83,USD,AP
01,,0100214501,100215010,2026-06-03,2026-06-03,2026-06-03,217.89,USD,217.89,USD,AP
01,,0100214402,100214402,2026-06-04,2026-06-04,2026-06-04,2247.76,USD,2247.76,USD,Payroll
01,,0100300100,100214501,2026-06-04,2026-06-04,2026-06-04,773.84,HKD,773.84,HKD,AP
01,,0100214501,100214402,2026-06-05,2026-06-05,2026-06-05,3102.40,USD,3102.40,USD,Payroll
01,,0100214402,100214501,2026-06-06,2026-06-06,2026-06-06,1888.12,USD,1888.12,USD,AP
01,,0100400200,100400200,2026-06-08,2026-06-08,2026-06-08,900.00,USD,900.00,USD,AP
01,,0100214402,100214402,2026-06-10,2026-06-10,2026-06-10,4012.50,USD,4012.50,USD,Payroll
01,,0100214402,100215010,2026-06-11,2026-06-11,2026-06-11,2201.17,USD,2201.17,USD,AP
01,,0100300100,100214501,2026-06-12,2026-06-12,2026-06-12,976.66,HKD,976.66,HKD,AP
01,,0100214501,100214402,2026-06-13,2026-06-13,2026-06-13,2897.60,USD,2897.60,USD,Payroll
01,,0100214402,100214501,2026-06-14,2026-06-14,2026-06-14,955.88,USD,955.88,USD,AP
01,,0100214501,100215010,2026-06-15,2026-06-15,2026-06-15,498.33,USD,498.33,USD,AP
01,,0100400200,100400200,2026-06-16,2026-06-16,2026-06-16,1034.06,USD,1034.06,USD,AP
01,,0100214402,100214402,2026-06-18,2026-06-18,2026-06-18,3124.89,USD,3124.89,USD,Payroll
01,,0100214402,100215010,2026-06-19,2026-06-19,2026-06-19,1980.00,USD,1980.00,USD,AP
01,,0100214402,100214501,2026-06-20,2026-06-20,2026-06-20,1256.00,USD,1256.00,USD,AP
01,,0100214501,100214402,2026-06-21,2026-06-21,2026-06-21,2300.00,USD,2300.00,USD,Payroll
01,,0100214402,100215010,2026-06-22,2026-06-22,2026-06-22,2100.00,USD,2100.00,USD,AP
01,,0100300100,100214501,2026-06-23,2026-06-23,2026-06-23,1000.00,HKD,1000.00,HKD,AP
01,,0100214402,100214402,2026-06-24,2026-06-24,2026-06-24,3114.85,USD,3114.85,USD,Payroll
01,,0100400200,100400200,2026-06-25,2026-06-25,2026-06-25,1265.94,USD,1265.94,USD,AP
01,,0100214501,100215010,2026-06-26,2026-06-26,2026-06-26,560.00,USD,560.00,USD,AP
01,,0100214501,100214402,2026-06-27,2026-06-27,2026-06-27,500.00,EUR,500.00,EUR,Payroll
01,,0100214501,100215010,2026-06-28,2026-06-28,2026-06-28,244.03,USD,244.03,USD,AP
01,,0100214402,100214402,2026-07-02,2026-07-02,2026-07-02,888.88,USD,888.88,USD,Payroll
01,,0100214501,100214402,2026-07-02,2026-07-02,2026-07-02,888.88,USD,888.88,USD,Payroll
